variable,count,mean,std,min,25%,50%,75%,max,panel
total_assets,6478.0,32448268830.689255,165234411497.88895,0.0,260532500.0,2652935500.0,14779574500.0,3180151000000.0,A: Full Sample
revenue,6478.0,7111016898.922815,25620793455.55109,-834143510.0,65670250.0,719179500.0,3702970250.0,467029000000.0,A: Full Sample
net_income,5931.0,570369614.3682348,3424660204.791365,-25392000000.0,-2639656.5,19136000.0,214250000.0,96223000000.0,A: Full Sample
leverage,6478.0,0.2892454305361011,0.1593525631030865,1.910220969860715e-05,0.26091840697793495,0.2783994006517131,0.29424239837341926,1.2649347577024346,A: Full Sample
roa,6478.0,-0.4409544540519937,2.9107131240390527,-26.988262550689267,-0.012829855338032492,0.009563380792120824,0.03301073204603944,0.32340725890450917,A: Full Sample
operating_margin,6478.0,-2.3401895220517246,16.389385814164008,-153.82248262125935,-0.004215802128371425,0.08228322217650282,0.1737959647093432,1.7540116735497666,A: Full Sample
capex_intensity,6478.0,0.031102258489303324,0.031007788552620964,0.0,0.015321515057233868,0.023105723500018452,0.03498196899736484,0.20585926938873453,A: Full Sample
rd_intensity,6478.0,0.2723438865108219,1.4688810860727353,0.0,0.0,0.0,0.02641916668697487,12.670634264084764,A: Full Sample
scope1_intensity_rev,3055.0,0.08462960343587343,0.5745818059511176,3.3173106739636216e-07,3.710376008775391e-05,0.0002866027760646109,0.0023923882621680525,5.134589781578305,A: Full Sample
total_assets,3090.0,42432127611.70518,183171375414.68524,0.0,1312799250.0,6911450000.0,31584525000.0,3180151000000.0,B: Reporting
revenue,3090.0,11880974537.160519,35136649400.508286,-116348000.0,322497500.0,1955356500.0,8264675000.0,467029000000.0,B: Reporting
net_income,2820.0,989575498.033688,4755736034.577973,-25392000000.0,-450.0,69241500.0,474969250.0,96223000000.0,B: Reporting
leverage,3090.0,0.2994529444229294,0.16228595511763058,1.910220969860715e-05,0.25401115740848124,0.2783994006517131,0.32807397437600727,1.2649347577024346,B: Reporting
roa,3090.0,-0.19226099279677514,1.961238147521845,-26.988262550689267,0.0019071624285080212,0.010475325765867233,0.03663012759382314,0.32340725890450917,B: Reporting
operating_margin,3090.0,-1.1694224547693217,11.979695990808741,-153.82248262125935,0.0358697020611334,0.08228322217650282,0.19576165118330405,1.7540116735497666,B: Reporting
capex_intensity,3090.0,0.03485531965666245,0.031404529294468415,0.0,0.020453726116028394,0.023105723500018452,0.04328955412307209,0.20585926938873453,B: Reporting
rd_intensity,3090.0,0.11431417878721539,0.8898769349217369,0.0,0.0,0.0,0.010637244702701271,12.670634264084764,B: Reporting
scope1_intensity_rev,3055.0,0.08462960343587346,0.5745818059511177,3.3173106739636216e-07,3.710376008775391e-05,0.0002866027760646109,0.0023923882621680525,5.134589781578305,B: Reporting
total_assets,3388.0,23342565278.936245,146414115485.82983,0.0,93329048.5,964107000.0,5609349000.0,2416676000000.0,C: Non-Reporting
revenue,3388.0,2760612795.571429,9467801028.629955,-834143510.0,20603000.0,243748000.0,1487495000.0,171760000000.0,C: Non-Reporting
net_income,3111.0,190375852.8971392,1248359416.3620114,-18893000000.0,-6273359.5,3838288.0,84456000.0,20081000000.0,C: Non-Reporting
leverage,3388.0,0.27993574402184507,0.15607211087606346,1.910220969860715e-05,0.2704487573217696,0.2783994006517131,0.2783994006517131,1.2649347577024346,C: Non-Reporting
roa,3388.0,-0.6677734609228985,3.547628426505614,-26.988262550689267,-0.05345455126864834,0.008594014967777775,0.02932102170373743,0.32340725890450917,C: Non-Reporting
operating_margin,3388.0,-3.407978848469264,19.503653056276654,-153.82248262125935,-0.11126545850537145,0.08228322217650282,0.15429558088609674,1.7540116735497666,C: Non-Reporting
capex_intensity,3388.0,0.02767930718849468,0.0302425780344017,0.0,0.011577160268370666,0.023105723500018452,0.0253564520527282,0.20585926938873453,C: Non-Reporting
rd_intensity,3388.0,0.4164736966837687,1.8330997208211477,0.0,0.0,0.0,0.05876059334850693,12.670634264084764,C: Non-Reporting
scope1_intensity_rev,0.0,,,,,,,,C: Non-Reporting
